created_utc,model,dataset,concurrency,data_num,ttft_ms,tpot_ms,total_output_throughput_token_s,throughput_per_gpu_token_s,ttft_sla_ms,tpot_sla_ms,sla_status,observed_max_concurrency,concurrency_matched,success_requests,failed_requests,run_dir,max_running_requests
2026-09-05T16:51:34.391508+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,4,16,5304.4,12.9,219.1766,27.3971,20000.0,20.0,PASS,4,True,16,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T164920253735Z_c4,8
2026-09-05T16:53:29.127318+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,8,32,3030.6,16.1,414.5855,51.8232,20000.0,20.0,PASS,8,True,32,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T165136274715Z_c8,8
2026-09-05T16:55:40.475948+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,12,48,8364.7,14.7,494.31,61.7888,20000.0,20.0,PASS,12,True,48,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T165330295698Z_c12,8
2026-09-05T16:58:14.801039+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,16,64,13423.5,13.3,545.8122,68.2265,20000.0,20.0,PASS,16,True,64,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T165542318835Z_c16,8
2026-09-05T17:03:24.583891+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,20,80,40358.5,23.5,298.2096,37.2762,20000.0,20.0,FAIL_BOTH,20,True,80,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T165816339287Z_c20,8
2026-09-05T17:09:33.319773+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,24,96,52968.6,23.6,295.4847,36.9356,20000.0,20.0,FAIL_BOTH,24,True,96,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T170326375629Z_c24,8
2026-09-05T17:16:35.284932+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,28,112,65031.1,23.7,295.0871,36.8859,20000.0,20.0,FAIL_BOTH,28,True,112,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T170934408085Z_c28,8
2026-09-05T17:24:33.082334+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,32,128,77227.2,23.7,295.7503,36.9688,20000.0,20.0,FAIL_BOTH,32,True,128,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T171636446280Z_c32,8
2026-09-05T17:33:25.922421+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,36,144,89475.9,23.7,295.5409,36.9426,20000.0,20.0,FAIL_BOTH,36,True,144,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T172434484160Z_c36,8
2026-09-05T17:43:14.326331+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,40,160,101445.7,23.8,295.6006,36.9501,20000.0,20.0,FAIL_BOTH,40,True,160,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T173326525669Z_c40,8
2026-09-05T17:53:55.646448+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,44,176,113397.8,23.9,295.9586,36.9948,20000.0,20.0,FAIL_BOTH,44,True,176,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T174314572546Z_c44,8
2026-09-05T18:05:35.627887+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,48,192,125882.0,23.9,295.552,36.944,20000.0,20.0,FAIL_BOTH,48,True,192,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T175356620909Z_c48,8
2026-09-05T18:18:03.024318+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,52,208,136087.2,24.0,298.6427,37.3303,20000.0,20.0,FAIL_BOTH,52,True,208,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/mr_8/glm_5_2_awq_int4/dataset_128k_p90/20260905T180536673097Z_c52,8
